location,price,bedrooms,bathrooms,floor area,land area,latitude,longitude,city,province,region
"Santo Domingo, Cainta",9500000.0,4.0,3.0,144.0,136.0,14.5823408,121.1180438,Cainta,Rizal,Region IV-A
"San Vicente, Santa Maria",4400000.0,3.0,2.0,63.2,80.0,14.8077154,121.0024016,Santa Maria,Bulacan,Region III
"Camella Tarlac Access Rd. Maliwalo, Tarlac",7810000.0,5.0,3.0,100.0,110.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Zambowood Rd. Boalan, Zamboanga",3275000.0,2.0,1.0,40.3,78.4,6.9483885,122.1148889,Zamboanga,Zamboanga,Region IX
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000.0,2.0,2.0,52.0,40.0,14.8279751,121.0003891,Santa Maria,Bulacan,Region III
"Aningway Sacatihan, Subic",8428000.0,5.0,3.0,142.0,121.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000.0,2.0,1.0,46.0,63.0,13.5979899,123.2430657,Pili,Camarines Sur,Region V
"Km. 19 West Service Rd. Cupang, Muntinlupa",28650000.0,3.0,3.0,219.3,90.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
"Km.71, North Luzon Expressway Panipuan, Mexico",3500000.0,3.0,2.0,102.4,154.0,15.0941848,120.6701583,Mexico,Pampanga,Region III
"Tugbok, Davao",5300000.0,3.0,2.0,70.3,67.0,7.1035383,125.4948467,Davao,Davao del Sur,Region XI
"Caingin, San Rafael",1800000.0,2.0,1.0,46.0,41.0,14.9717467,120.9434431,San Rafael,Bulacan,Region III
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7337000.0,4.0,3.0,85.0,99.0,15.4710779,120.9821312,Cabanatuan,La Union,Region I
"Sun Valley, Paranaque",45001005.0,6.0,5.0,337.0,350.0,14.4888415,121.0325173,Paranaque,Paranaque,NCR
"Ungka Ii, Pavia",4080345.0,3.0,2.0,52.0,80.0,10.7529006,122.5376029,Pavia,Iloilo,Region VI
"Aningway Sacatihan, Subic",10082000.0,5.0,3.0,142.0,176.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Caingin, San Rafael",1800000.0,2.0,1.0,46.0,41.0,14.9717467,120.9434431,San Rafael,Bulacan,Region III
"Bugtong Na Pulo, Lipa",7500000.0,4.0,3.0,119.0,150.0,13.9984308,121.1674592,Lipa,Batangas,Region IV-A
"Pasong Camachile I, General Trias",2292960.0,3.0,1.0,40.0,40.0,14.3723207,120.8976745,General Trias,Cavite,Region IV-A
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000.0,2.0,2.0,53.0,88.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Antero Soriano Highway Sahud Ulan, Tanza",2258057.0,3.0,1.0,45.0,62.0,14.366749,120.8184475,Tanza,Cavite,Region IV-A
"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000.0,5.0,3.0,166.0,176.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Sapang Biabas, Mabalacat",1400000.0,2.0,1.0,40.0,40.0,15.1987752,120.6026101,Mabalacat,Pampanga,Region III
"Tugbok, Davao",5300000.0,3.0,2.0,70.3,67.0,7.1035383,125.4948467,Davao,Davao del Sur,Region XI
"Cupang, Muntinlupa",32342000.0,3.0,3.0,247.4,93.0,14.4378843,121.0503212,Muntinlupa,Muntinlupa,NCR
"Km. 19 West Service Rd. Cupang, Muntinlupa",26393000.0,3.0,3.0,219.3,91.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
